height_cm,weight_kgs,overall_rating,value_euro,weak_foot(1-5),balance,stamina,P/A_Ratio,Defensive_Strength,Passing,Attacking_skills,Skills,Mentality,Setpiece_accuracy,Pace,preferred_foot_Left,preferred_foot_Right,body_type_Lean,body_type_Normal,body_type_Stocky,Position_Count,positions_Defender,positions_Forward,positions_Midfielder
185.42,84.8,87,52000000.0,4,63,80,3.0,48.800000000000004,62.5,83.75,65.2,80.60000000000001,64.5,81.85000000000001,0,1,0,1,0,1,0,1,0
175.26,78.9,87,62500000.0,3,90,70,3.4615384615384617,61.0,82.8,73.3,71.80000000000001,73.0,76.0,71.7,0,1,0,1,0,3,0,0,1
154.94,74.8,87,59000000.0,3,76,70,3.259259259259259,55.900000000000006,87.7,81.69999999999999,66.3,77.4,83.5,69.7,1,0,0,1,0,3,0,0,1
185.42,83.9,87,50500000.0,3,66,87,3.2962962962962963,84.6,76.0,73.10000000000001,57.900000000000006,86.4,70.0,63.75,0,1,0,1,0,1,0,0,1
154.94,74.8,87,64500000.0,4,76,69,3.4615384615384617,44.2,61.10000000000001,82.85,64.5,74.0,63.5,77.55000000000001,0,1,0,1,0,1,0,1,0
154.94,64.9,84,38000000.0,2,78,86,3.44,56.00000000000001,86.80000000000001,71.25,63.599999999999994,78.6,75.0,74.9,1,0,1,0,0,2,0,0,1
187.96,78.0,84,34000000.0,2,67,92,3.52,81.8,79.8,69.6,61.10000000000001,84.19999999999999,72.0,70.65,0,1,1,0,0,1,0,0,1
182.88,76.2,84,42500000.0,3,81,76,3.9130434782608696,49.599999999999994,72.8,79.9,69.0,72.4,67.5,88.55000000000001,0,1,0,1,0,3,0,1,0
154.94,74.8,84,40000000.0,4,76,83,3.782608695652174,42.3,66.2,78.15,66.3,72.0,64.0,93.0,0,1,0,1,0,1,0,1,0
195.58,97.1,84,36500000.0,3,33,65,3.9130434782608696,79.5,51.0,52.25,36.0,77.4,31.0,69.60000000000001,0,1,0,0,1,1,1,0,0
152.4,68.9,84,40500000.0,3,78,91,3.6666666666666665,66.9,84.89999999999999,77.2,65.5,76.8,83.5,77.35000000000001,0,1,1,0,0,2,0,0,1
154.94,71.2,84,31000000.0,2,70,92,3.3076923076923075,77.1,82.10000000000001,73.6,64.3,79.80000000000001,76.0,84.55000000000001,1,0,1,0,0,1,1,0,0
185.42,79.8,84,34000000.0,3,43,67,3.6666666666666665,80.0,49.5,54.0,45.900000000000006,80.00000000000001,41.0,69.55,0,1,0,1,0,1,1,0,0
172.72,74.8,84,40500000.0,3,91,77,3.52,45.00000000000001,80.8,75.45,69.30000000000001,80.80000000000001,77.5,79.0,1,0,0,0,1,1,0,0,1
187.96,78.9,84,34000000.0,3,55,76,4.0,79.30000000000001,58.39999999999999,52.2,53.2,80.80000000000001,35.5,75.85,0,1,1,0,0,1,1,0,0
182.88,76.2,84,41500000.0,3,76,76,3.869565217391304,49.400000000000006,82.1,78.05000000000001,64.89999999999999,67.60000000000001,69.0,83.35,1,0,0,1,0,2,0,1,0
152.4,67.1,84,46000000.0,5,85,76,4.380952380952381,43.5,79.1,72.0,68.60000000000001,70.80000000000001,69.5,93.45000000000002,1,0,1,0,0,2,0,1,0
170.18,68.0,85,18500000.0,4,84,58,2.5,62.900000000000006,87.1,67.15,65.9,75.60000000000001,70.5,67.80000000000001,0,1,0,1,0,2,0,0,1
195.58,94.8,85,14000000.0,4,39,61,2.2972972972972974,43.8,76.6,85.2,63.3,86.0,85.5,58.550000000000004,0,1,0,1,0,1,0,1,0
154.94,67.1,83,30000000.0,3,73,79,3.111111111111111,69.30000000000001,85.2,62.849999999999994,63.400000000000006,79.60000000000001,80.0,65.05000000000001,0,1,1,0,0,1,0,0,1
172.72,63.0,83,26000000.0,4,88,84,2.8620689655172415,53.3,77.89999999999999,71.45,67.3,67.60000000000001,67.5,89.45,0,1,1,0,0,2,0,0,1
175.26,74.8,83,34000000.0,4,88,68,3.782608695652174,52.0,74.3,73.2,67.10000000000001,71.0,65.0,90.9,0,1,0,1,0,4,0,0,1
175.26,78.0,83,35000000.0,4,85,82,3.7083333333333335,69.1,83.5,65.64999999999999,68.3,78.0,63.5,78.5,0,1,0,1,0,1,0,0,1
187.96,83.0,83,27000000.0,4,51,85,3.3076923076923075,79.10000000000001,79.0,63.45,57.1,81.80000000000001,55.0,64.75,0,1,0,1,0,2,0,0,1
190.5,86.2,83,22500000.0,3,57,78,2.896551724137931,78.10000000000001,59.6,48.65,49.3,82.20000000000002,38.5,63.85,0,1,0,1,0,1,1,0,0
154.94,73.0,83,33000000.0,4,71,74,3.44,44.2,74.2,73.85,69.0,71.0,76.0,87.9,0,1,1,0,0,1,0,0,1
172.72,69.9,83,27000000.0,4,84,90,3.074074074074074,62.800000000000004,81.4,71.3,65.8,75.8,63.5,83.80000000000001,0,1,0,1,0,2,0,0,1
175.26,72.1,83,28000000.0,4,79,83,3.074074074074074,43.3,78.10000000000001,77.60000000000001,68.2,71.60000000000001,75.0,90.55000000000001,0,1,1,0,0,3,0,1,0
187.96,78.9,83,34000000.0,4,70,86,3.6666666666666665,75.50000000000001,80.6,76.5,64.10000000000001,80.8,67.5,81.25,0,1,1,0,0,3,0,0,1
193.04,79.8,83,33000000.0,3,72,82,3.782608695652174,76.69999999999999,80.1,74.85000000000001,64.0,80.6,63.0,73.55000000000001,1,0,1,0,0,2,0,0,1
187.96,78.0,83,31000000.0,3,53,75,3.75,79.1,56.5,49.1,53.7,80.0,29.0,66.30000000000001,1,0,0,1,0,1,1,0,0
182.88,73.9,83,29500000.0,3,74,90,3.7083333333333335,75.9,78.1,67.5,66.0,76.6,57.5,91.0,0,1,1,0,0,1,1,0,0
190.5,79.8,83,34000000.0,4,65,76,3.48,60.2,80.0,81.8,63.2,72.2,79.0,76.45,1,0,0,1,0,1,0,0,1
152.4,71.2,83,34500000.0,3,84,76,4.0,35.6,74.4,72.3,69.1,60.8,70.0,93.9,0,1,1,0,0,4,0,0,1
170.18,62.1,83,35500000.0,2,86,79,3.869565217391304,63.10000000000001,82.0,73.1,68.0,73.0,74.5,84.9,1,0,1,0,0,3,0,0,1
195.58,97.1,82,25000000.0,4,44,63,3.782608695652174,78.8,61.3,38.75,46.5,76.60000000000001,32.5,71.15,0,1,0,0,1,1,1,0,0
170.18,67.1,82,28000000.0,4,82,79,3.4,45.60000000000001,77.7,69.75,65.8,72.60000000000001,73.5,85.55000000000001,1,0,0,1,0,3,0,1,0
185.42,81.2,82,26000000.0,4,60,73,3.8260869565217392,78.80000000000001,62.4,43.45,54.5,79.4,35.0,72.55000000000001,1,0,1,0,0,1,1,0,0
175.26,69.9,82,29500000.0,4,76,80,3.782608695652174,46.3,73.1,72.25000000000001,67.10000000000001,72.80000000000001,64.5,93.45000000000002,0,1,1,0,0,2,0,1,0
172.72,73.9,82,31500000.0,4,84,74,4.045454545454546,36.2,78.7,74.9,67.5,68.2,74.5,84.25,1,0,0,1,0,1,0,1,0
167.64,64.0,82,25000000.0,3,93,85,3.782608695652174,77.5,77.3,63.75,62.400000000000006,81.39999999999999,63.0,77.15,0,1,0,1,0,2,0,0,1
152.4,68.0,82,29000000.0,4,78,75,3.909090909090909,44.300000000000004,75.6,73.39999999999999,66.3,74.8,69.5,89.55000000000001,0,1,0,1,0,4,0,1,0
175.26,69.9,82,30000000.0,3,81,80,4.0,67.00000000000001,81.6,73.95,65.60000000000001,73.6,66.0,78.1,1,0,1,0,0,3,0,0,1
187.96,69.9,82,32000000.0,4,66,75,4.090909090909091,74.2,79.6,75.4,61.5,73.8,63.0,67.9,1,0,1,0,0,3,0,0,1
154.94,69.9,82,31000000.0,3,78,74,4.238095238095238,71.1,83.0,61.95,68.6,76.6,54.5,78.9,0,1,1,0,0,3,0,0,1
154.94,82.1,82,6500000.0,3,63,76,2.342857142857143,78.7,54.7,67.70000000000002,52.5,78.0,60.0,71.30000000000001,0,1,0,1,0,2,0,0,1
175.26,69.9,82,16500000.0,4,80,93,2.6451612903225805,77.0,75.5,59.0,57.39999999999999,78.4,67.0,80.55000000000001,0,1,1,0,0,2,0,0,1
170.18,73.0,82,32500000.0,3,90,78,4.090909090909091,69.7,81.0,69.45,66.1,79.8,64.5,69.1,0,1,0,1,0,1,0,0,1
190.5,82.1,82,29000000.0,3,72,82,3.9545454545454546,75.60000000000001,78.69999999999999,69.05000000000001,60.99999999999999,74.4,50.0,67.80000000000001,0,1,1,0,0,2,0,0,1
182.88,74.8,82,9000000.0,4,71,88,2.411764705882353,79.60000000000001,78.0,76.80000000000001,60.00000000000001,79.60000000000001,50.0,68.55000000000001,0,1,1,0,0,2,0,0,1
154.94,76.2,82,21500000.0,4,76,71,2.7333333333333334,53.1,82.6,77.55,63.7,76.6,80.0,67.9,1,0,0,1,0,3,0,1,0
182.88,79.8,82,18000000.0,3,70,91,2.9285714285714284,76.4,83.1,70.75,60.0,78.0,69.0,66.45,0,1,0,1,0,2,0,0,1
172.72,66.2,82,21000000.0,2,81,69,2.6451612903225805,44.7,79.89999999999999,70.3,68.1,76.0,71.5,81.25,1,0,1,0,0,1,0,0,1
193.04,83.0,82,22000000.0,4,66,78,2.8275862068965516,55.099999999999994,76.89999999999999,78.10000000000001,63.5,81.6,74.5,81.20000000000002,0,1,0,1,0,1,0,1,0
162.56,60.8,82,20000000.0,4,91,77,2.5625,35.0,77.0,71.10000000000001,66.0,79.4,83.0,83.6,0,1,0,1,0,2,0,1,0
185.42,77.1,82,22500000.0,4,63,86,2.8275862068965516,60.6,84.5,77.05000000000001,62.0,72.4,82.5,56.35000000000001,0,1,0,1,0,1,0,0,1
172.72,68.0,82,22500000.0,3,85,82,2.9285714285714284,53.00000000000001,80.0,71.85000000000001,65.3,77.80000000000001,75.0,80.6,0,1,0,0,1,2,0,0,1
187.96,78.0,82,16500000.0,3,62,85,2.6451612903225805,79.4,72.2,62.25,56.2,85.4,59.0,62.45,1,0,1,0,0,2,0,0,1
152.4,72.1,82,18500000.0,4,74,88,2.9285714285714284,75.69999999999999,81.5,65.9,61.39999999999999,73.2,74.5,75.45,0,1,0,1,0,2,1,0,0
182.88,76.2,82,23000000.0,3,74,89,2.9285714285714284,69.2,79.9,72.05,62.50000000000001,77.8,70.5,67.2,0,1,1,0,0,3,0,0,1
187.96,88.0,82,23500000.0,4,50,66,2.9285714285714284,39.2,72.4,79.64999999999999,63.7,74.0,85.0,77.75,0,1,0,1,0,1,0,1,0
175.26,68.9,82,21000000.0,4,84,78,2.7333333333333334,52.6,78.7,73.0,69.9,72.2,76.0,83.35,1,0,0,1,0,1,0,0,1
172.72,64.0,82,21000000.0,3,83,79,2.6451612903225805,50.5,76.4,72.35000000000001,68.1,71.0,72.5,91.9,0,1,1,0,0,2,0,0,1
154.94,74.8,82,22000000.0,3,77,84,2.8275862068965516,71.0,82.2,76.4,65.0,76.4,73.0,76.1,0,1,1,0,0,2,0,0,1
187.96,79.8,81,22000000.0,2,67,78,3.230769230769231,81.9,76.8,74.2,64.1,82.20000000000002,50.5,72.85000000000001,1,0,1,0,0,2,0,0,1
175.26,79.8,81,18000000.0,3,78,84,3.1923076923076925,77.1,74.6,68.5,62.8,75.2,53.5,85.9,1,0,0,0,1,3,0,0,1
185.42,83.9,81,21000000.0,3,69,76,3.037037037037037,58.900000000000006,60.5,78.74999999999999,63.800000000000004,79.20000000000002,67.5,78.1,1,0,0,1,0,1,0,1,0
154.94,76.2,81,15000000.0,3,72,87,3.0,76.4,73.9,61.14999999999999,60.5,72.6,54.5,78.55000000000001,0,1,1,0,0,1,1,0,0
190.5,76.2,81,17000000.0,3,54,93,2.9285714285714284,76.2,72.5,50.8,56.400000000000006,79.4,49.0,52.0,0,1,1,0,0,2,0,0,1
185.42,84.8,81,20000000.0,3,70,81,3.5833333333333335,79.4,78.0,58.0,61.10000000000001,77.6,42.0,81.95,1,0,0,1,0,1,1,0,0
152.4,77.1,81,22500000.0,4,79,84,3.5,61.60000000000001,74.8,75.55,63.0,75.0,64.0,79.7,0,1,0,1,0,2,0,0,1
187.96,83.0,81,18500000.0,2,59,62,3.36,76.5,61.400000000000006,45.3,47.4,79.2,60.0,71.6,1,0,0,1,0,1,1,0,0
154.94,78.9,81,22000000.0,3,78,82,3.32,47.3,75.4,79.80000000000001,63.3,71.80000000000001,69.5,77.45,0,1,0,0,1,2,0,1,0
187.96,83.0,81,18500000.0,3,49,74,3.32,78.3,71.60000000000001,62.24999999999999,50.9,71.8,54.5,62.7,0,1,0,1,0,2,0,0,1
154.94,77.1,81,22000000.0,4,69,77,3.1923076923076925,52.0,63.300000000000004,77.8,61.5,67.0,65.5,77.65,1,0,1,0,0,1,0,1,0
182.88,76.2,81,19500000.0,3,69,93,3.269230769230769,79.0,76.1,70.65,59.2,76.2,48.0,66.85,0,1,1,0,0,2,0,0,1
170.18,71.2,81,22500000.0,2,86,74,3.36,70.10000000000001,81.3,73.35,66.4,75.4,63.0,74.30000000000001,1,0,0,1,0,3,0,0,1
175.26,69.9,81,18500000.0,4,77,84,3.36,74.4,78.60000000000001,64.9,65.10000000000001,78.6,52.5,87.45,0,1,1,0,0,2,0,0,1
182.88,67.1,81,23000000.0,2,78,55,3.5416666666666665,46.3,79.2,68.5,65.30000000000001,64.00000000000001,67.0,85.55000000000001,1,0,1,0,0,3,0,0,1
185.42,83.9,81,25000000.0,4,78,73,4.0,41.8,77.9,69.7,66.6,60.400000000000006,56.5,81.30000000000001,0,1,1,0,0,3,0,0,1
182.88,73.0,80,22000000.0,3,79,78,3.8260869565217392,38.3,72.0,73.64999999999999,67.3,64.2,75.0,90.55000000000001,1,0,1,0,0,3,0,1,0
152.4,78.0,80,20500000.0,2,89,78,4.095238095238095,47.2,70.5,70.85000000000001,66.6,62.2,62.5,88.55000000000001,0,1,0,0,1,2,0,1,0
187.96,84.8,80,15500000.0,3,42,76,3.074074074074074,75.30000000000001,52.6,49.2,41.400000000000006,77.80000000000001,41.0,60.95,0,1,0,1,0,1,1,0,0
185.42,78.9,80,21000000.0,3,72,77,3.782608695652174,50.800000000000004,64.5,75.35,63.699999999999996,76.60000000000001,56.5,77.55000000000001,0,1,0,1,0,1,0,1,0
154.94,78.0,80,21000000.0,3,70,72,4.142857142857143,44.8,78.5,68.75,62.599999999999994,61.0,61.5,73.65,1,0,1,0,0,3,0,0,1
152.4,74.8,80,4500000.0,4,77,89,2.2857142857142856,74.9,75.3,60.9,60.6,75.2,67.0,68.45,0,1,0,0,1,2,0,0,1
152.4,68.9,80,10500000.0,4,81,89,2.5806451612903225,74.10000000000001,76.5,58.7,63.2,76.4,56.5,79.1,1,0,1,0,0,2,0,0,1
154.94,71.2,80,21000000.0,5,74,78,4.095238095238095,51.1,69.69999999999999,74.6,65.6,79.6,67.0,84.65,0,1,0,1,0,3,0,1,0
175.26,66.2,80,18500000.0,3,79,80,3.8260869565217392,74.89999999999999,72.19999999999999,57.85,59.400000000000006,68.2,46.0,81.1,0,1,1,0,0,1,1,0,0
154.94,76.2,80,21000000.0,4,73,78,3.9545454545454546,63.900000000000006,81.3,69.94999999999999,62.1,66.0,77.5,76.1,0,1,1,0,0,2,0,0,1
175.26,69.9,80,23500000.0,4,81,79,4.5,64.5,79.6,65.85000000000001,64.7,76.0,61.0,79.0,0,1,1,0,0,2,0,0,1
154.94,76.2,80,22500000.0,3,84,78,4.045454545454546,71.5,77.8,65.05000000000001,66.30000000000001,82.0,61.5,79.60000000000001,0,1,0,1,0,2,0,0,1
185.42,83.9,80,20500000.0,3,53,71,3.8636363636363638,42.099999999999994,63.6,79.5,55.3,72.2,60.0,63.2,0,1,0,1,0,1,0,1,0
152.4,74.8,81,6000000.0,3,72,54,2.189189189189189,48.800000000000004,84.39999999999999,74.0,60.6,69.60000000000001,76.0,68.7,0,1,0,1,0,3,0,1,0
187.96,83.9,81,5500000.0,2,43,78,2.3142857142857145,82.0,70.5,69.95,49.199999999999996,74.0,75.5,71.30000000000001,1,0,0,1,0,1,1,0,0
193.04,89.8,80,15000000.0,2,47,73,3.037037037037037,77.1,70.3,56.400000000000006,51.300000000000004,75.6,32.0,62.7,0,1,1,0,0,1,1,0,0
175.26,76.2,80,15500000.0,3,76,77,3.1923076923076925,77.3,75.7,63.35000000000001,63.2,80.60000000000001,47.0,78.45000000000002,0,1,0,1,0,2,1,0,0
187.96,77.1,80,14000000.0,3,50,77,2.892857142857143,79.7,68.89999999999999,63.85,52.3,78.2,51.5,68.85,0,1,1,0,0,2,0,0,1
175.26,69.9,80,19500000.0,4,88,82,3.4,70.3,78.9,66.1,65.9,77.2,64.5,84.55000000000001,0,1,0,0,1,2,0,0,1
182.88,82.1,80,17500000.0,3,63,82,3.0,46.5,71.8,78.89999999999999,63.5,80.4,71.5,79.85000000000001,0,1,0,1,0,1,0,1,0
152.4,78.9,80,17500000.0,4,80,74,3.0,38.7,67.8,73.6,66.10000000000001,65.8,67.0,87.65,0,1,0,0,1,1,0,1,0
182.88,76.2,80,11500000.0,3,63,76,2.7586206896551726,77.4,59.8,48.39999999999999,50.199999999999996,79.4,43.0,75.5,0,1,1,0,0,2,1,0,0
152.4,72.1,80,15000000.0,5,78,75,2.7586206896551726,61.400000000000006,78.5,73.8,63.800000000000004,67.0,73.0,77.9,0,1,0,1,0,3,0,0,1
152.4,64.9,80,16000000.0,4,79,73,2.962962962962963,44.800000000000004,74.9,69.9,65.2,62.00000000000001,64.0,90.35,0,1,1,0,0,2,0,0,1
152.4,82.1,80,11500000.0,2,82,88,2.7586206896551726,76.8,75.0,65.0,62.199999999999996,73.0,50.5,81.80000000000001,1,0,0,0,1,1,1,0,0
182.88,78.0,80,15500000.0,3,65,69,3.074074074074074,79.1,74.69999999999999,55.800000000000004,58.800000000000004,72.80000000000001,42.0,67.55000000000001,0,1,1,0,0,1,1,0,0
182.88,78.0,80,16000000.0,2,72,72,3.230769230769231,76.5,60.2,48.35000000000001,54.9,79.0,36.0,75.55000000000001,0,1,0,1,0,1,1,0,0
187.96,89.8,80,16500000.0,3,38,78,3.36,80.39999999999999,72.2,67.75,52.0,82.80000000000001,72.0,65.30000000000001,0,1,0,1,0,3,0,0,1
175.26,83.0,80,12000000.0,4,77,74,2.4242424242424243,59.7,79.9,80.55,59.4,83.2,82.0,65.0,0,1,0,0,1,1,0,1,0
175.26,72.1,80,7000000.0,4,80,77,2.2222222222222223,53.2,70.39999999999999,79.45,65.4,73.4,77.5,80.30000000000001,0,1,0,1,0,1,0,1,0
175.26,73.0,80,4500000.0,3,78,76,2.3529411764705883,76.6,71.69999999999999,58.1,56.199999999999996,83.39999999999999,55.0,65.15,0,1,0,1,0,2,0,0,1
175.26,68.9,80,9500000.0,4,83,62,2.4242424242424243,48.6,80.0,74.55,67.5,74.2,74.5,64.60000000000001,0,1,1,0,0,2,0,1,0
154.94,71.2,80,5500000.0,3,63,80,2.3529411764705883,75.89999999999999,74.1,60.0,60.3,77.2,62.5,78.95000000000002,0,1,1,0,0,1,1,0,0
175.26,69.9,80,4500000.0,3,76,85,2.3529411764705883,74.10000000000001,74.8,63.75,60.5,81.2,58.0,65.9,0,1,0,1,0,1,0,0,1
187.96,91.2,80,12000000.0,3,59,71,2.4242424242424243,51.6,70.9,80.75,57.300000000000004,79.6,74.0,69.35000000000001,0,1,0,0,1,1,0,1,0
193.04,83.9,80,700000.0,4,36,67,2.4242424242424243,78.9,59.8,60.6,45.1,78.8,59.5,47.650000000000006,0,1,0,1,0,1,1,0,0
175.26,74.8,80,11500000.0,4,76,72,2.4242424242424243,68.2,76.89999999999999,73.25,67.00000000000001,73.2,71.5,79.15,0,1,0,1,0,2,0,0,1
187.96,84.8,80,4500000.0,4,64,62,2.2857142857142856,76.3,67.6,58.150000000000006,49.199999999999996,76.0,56.0,39.650000000000006,1,0,0,1,0,1,1,0,0
154.94,79.8,80,8500000.0,3,72,71,2.4242424242424243,78.2,69.5,62.95,54.3,78.0,59.5,59.55,0,1,0,1,0,1,1,0,0
175.26,73.0,80,9000000.0,4,78,69,2.3529411764705883,66.10000000000001,85.1,68.29999999999998,63.699999999999996,70.2,74.0,53.35,0,1,0,1,0,2,0,0,1
185.42,76.2,79,17500000.0,4,71,68,3.5416666666666665,39.2,78.9,66.50000000000001,65.8,61.2,62.5,79.60000000000001,1,0,1,0,0,2,0,0,1
185.42,74.8,79,10000000.0,3,67,82,2.8214285714285716,76.50000000000001,75.6,62.699999999999996,58.2,75.60000000000001,65.0,76.1,1,0,0,1,0,2,0,0,1
182.88,76.2,79,15500000.0,4,71,81,3.1153846153846154,41.10000000000001,63.7,75.75,63.3,58.800000000000004,70.0,75.10000000000001,0,1,0,1,0,1,0,1,0
175.26,63.0,79,16500000.0,4,78,78,3.5,60.800000000000004,78.80000000000001,64.4,64.2,71.60000000000001,64.0,68.15,0,1,0,1,0,1,0,0,1
175.26,69.9,79,15000000.0,4,77,82,3.076923076923077,53.400000000000006,77.39999999999999,62.5,62.10000000000001,61.400000000000006,69.5,76.9,0,1,1,0,0,3,0,0,1
172.72,71.2,79,17500000.0,3,82,68,3.5416666666666665,47.50000000000001,77.2,65.44999999999999,65.5,77.2,72.0,74.9,0,1,0,1,0,3,0,0,1
170.18,69.9,79,13500000.0,3,78,83,3.32,75.10000000000001,69.39999999999999,55.650000000000006,60.3,76.4,50.0,77.55000000000001,0,1,0,1,0,1,1,0,0
187.96,88.0,79,14500000.0,4,58,89,3.6956521739130435,78.3,77.10000000000001,74.75000000000001,54.400000000000006,74.2,57.5,64.85000000000001,0,1,0,1,0,3,0,0,1
182.88,74.8,79,15000000.0,3,65,90,3.44,73.30000000000001,75.5,65.8,62.099999999999994,74.6,61.0,76.20000000000002,0,1,1,0,0,3,0,0,1
172.72,63.0,79,17000000.0,3,85,80,3.5,45.9,74.8,70.55000000000001,64.0,69.4,70.5,76.35,0,1,1,0,0,1,0,0,1
152.4,79.8,79,13500000.0,3,74,84,3.1923076923076925,72.9,78.2,68.44999999999999,62.8,79.2,68.5,78.4,0,1,0,1,0,3,0,0,1
152.4,69.9,79,14000000.0,4,76,90,3.4583333333333335,76.89999999999999,71.9,66.85,60.1,72.80000000000001,61.5,75.10000000000001,0,1,1,0,0,2,0,0,1
185.42,83.0,79,14500000.0,3,66,83,3.652173913043478,76.9,73.6,61.70000000000001,59.800000000000004,78.0,50.0,80.95000000000002,0,1,0,1,0,3,0,0,1
182.88,83.0,79,11500000.0,3,60,86,2.857142857142857,74.8,72.9,61.85,51.400000000000006,79.8,59.5,43.0,0,1,0,1,0,1,0,0,1
152.4,79.8,79,13000000.0,5,73,77,2.8214285714285716,45.50000000000001,64.8,79.45,60.900000000000006,72.4,66.0,80.75,0,1,0,1,0,1,0,1,0
175.26,67.1,79,11500000.0,2,75,76,2.962962962962963,76.5,70.5,63.6,61.699999999999996,75.4,42.5,77.55000000000001,0,1,0,1,0,1,1,0,0
182.88,73.9,79,15000000.0,4,79,68,2.962962962962963,43.599999999999994,74.89999999999999,69.3,66.0,62.400000000000006,79.0,78.25,0,1,1,0,0,2,0,0,1
152.4,77.1,79,13000000.0,4,76,82,2.8214285714285716,63.1,78.5,72.8,63.10000000000001,73.00000000000001,73.5,77.9,1,0,0,1,0,2,0,0,1
154.94,77.1,79,13000000.0,4,74,79,2.7241379310344827,53.00000000000001,72.5,77.69999999999999,62.0,72.60000000000001,82.5,80.5,0,1,0,0,1,2,0,1,0
185.42,78.9,79,13000000.0,4,54,71,2.7241379310344827,46.0,62.099999999999994,75.3,59.5,75.80000000000001,58.0,65.55000000000001,0,1,0,1,0,1,0,1,0
175.26,72.1,79,10000000.0,2,77,83,2.7241379310344827,76.3,73.6,65.5,58.199999999999996,73.2,67.5,74.75,1,0,1,0,0,2,0,0,1
185.42,78.0,79,10000000.0,2,58,72,2.6333333333333333,76.10000000000001,62.900000000000006,52.650000000000006,49.099999999999994,76.2,46.0,57.2,1,0,0,1,0,1,1,0,0
